廢墟,,,,121.5771117,24.98745246
佳佳,02 2939 6193,台北市文山區指南路二段119巷2號,平日 07:00–23:00；假日 07:00–22:00,121.5766044,24.98771921
九份芋圓,,,,121.5749252,24.98776125
薰衣草原,,台北市文山區萬壽路1號,13:00–21:00,121.575768,24.98790466
屈臣氏,02 8661 7940,台北市文山區指南路二段123、125號,10:00–22:00 ,121.576675,24.987537
711,02 2933 2978,台北市文山區指南路一段26號,24 小時營業,121.575516,24.987753
全家,02 8661 9335,台北市文山區指南路二段83號,24 小時營業,121.575188,24.987812
萊爾富,02 8978 2091,台北市文山區指南路二段64號,,121.57476,24.987818
立笙影印店,,,,121.5743888,24.98834238
舒曼,02 2234 1088,台北市文山區萬壽路6號,11:00 –22:00,121.5759308,24.98783648
影印05,,,,121.5739733,24.98804996
KYMCO機車店,02 2937 8488,台北市文山區指南路2段4號 ,,121.5741407,24.98787581
禾伸堂數位影印,02 2938 5943 ,台北市文山區指南路二段2號 ,,121.5741834,24.98786898
富士數位影像沖印,02 2939 2073,台北市文山區萬壽路7號,09:00–21:00,121.5758416,24.98797632
群倫雷德羽球系列,02 2939 2009,台北市文山區萬壽路13號,09:00–21:00,121.5759645,24.98808954
CHEEP GOGO,0974 214 393,台北市文山區萬壽路15號,10:00–22:00,121.5759769,24.98813
Jason's market place,02 2234 7664,台北市文山區萬壽路27號,24小時,121.5765766,24.98861518
BBC健康烘焙,02 2939 0501,台北市文山區萬壽路27號（在Jason's裡面）,07:00–21:00,121.5764551,24.9886281
鴻明,02 2936 1130,台北市文山區萬壽路16巷11號,08:30–20:30,121.5763497,24.98821696
自然美,02 2936 2723,台北市文山區萬壽路16巷2號1樓,10:00–20:00,121.5764078,24.98820587
飛捷,02 2936 9848,台北市文山區萬壽路16巷6號, 平日 07:00–23:00；週末 08:00–23:00,121.5765059,24.98822387
家庭理髮,,台北市文山區指南路二段119巷14號,09:00–21:00；週一、二公休,121.5765436,24.98805589
富士FRONTIER數位影像,02 2939 6334,台北市116文山區指南路2段51號,,121.5744199,24.98795045
康是美,02 8661 1033,台北市文山區指南路二段79號,09:00–23:00,121.5750342,24.98783851
張協興茶行,02 2939 4866, 台北市文山區指南路二段93號,12:00–22:00,121.5754064,24.98776658
傑昇通信,02 2936 7078, 台北市文山區指南路二段54號,,121.5754715,24.98766671
GIORDANO,02 8661 7831,台北市文山區 指南路二段95號,,121.5753391,24.98769601
政大書廊,,台北市文山區指南路2段42號,,121.5751964,24.98772999
泰源食品行,,台北市文山區指南路二段24號,,121.5750051,24.98775467
鑫盛鎖匙刻印行,,,,121.5746262,24.9878215
長軒眼鏡行,02 2936 1684, 台北市文山區指南路二段16號,,121.574534,24.98783434
美久耐眼鏡行,02 2937 0203, 台北市文山區指南路二段14號,11:00–22:00,121.5744765,24.98785006
芳妮,02 2939 6314,台北市文山區新光路一段20號,,121.5735753,24.98863652
蘿蔓尼酒廠,02 2938 2738,台北巿文山區新光路一段22號,(週二)~~(週日) 12:00 – 21:00,121.5736556,24.9889097
今日書局,02 2938 2955,文山區指南路二段135號,09:00–0:00,121.576833,24.98751735
永慶房屋,02 2936 7175,台北市文山區指南路二段159號,09:00–21:00,121.5773487,24.98740298
panasonic,02 29370066,台北市文山區指南路二段163號,09:00–19:00,121.5774114,24.9873826
神采美髮造型店,02 2936 2714,台北市文山區指南路二段119巷10號,,121.578664,24.98690013
711,02 8661 7034,台北市文山區指南路二段149號,24小時,121.5772612,24.98741615
581,02 2937 8383,台北市文山區指南路二段133號,9:00 –0:00,121.5769078,24.98749257
吉品牙醫,02 8661 8785,台北市文山區指南路二段203號,,121.5784342,24.98713055
指南派出所,02 2938 2712,台北市文山區指南路二段177號,,121.5777969,24.98729157
政大門診部,02 8237 7441,台北市文山區指南路二段117 號1樓,,121.576536,24.98757408
郵局,,台北市文山區指南路二段64號,09:00–12:30,121.5762795,24.98762386
國立政治大學,02 2939 3091,台北市文山區指南路二段64號,,121.5761355,24.9874371
停車場,,台北市文山區指南路二段64號,24小時,121.5739952,24.98790442
慈幼診所,02 2234 4815,台北市文山區指南路二段21號,24小時,121.5735783,24.98819402
樸園牙醫診所,02 2936 4720,台北市文山區指南路二段45巷8號,,121.5743992,24.98838438
政大康承健保藥局,02 2234 3010 ,台北市文山區指南路二段8號 ,09:30–22:00 ,121.5742175,24.98786493
寶島牙醫,02 2939 1912,台北市文山區萬壽路11號,,121.5759261,24.98806272
政大郵局旁機車停車場,,台北市文山區指南路二段64號,24小時,121.5761108,24.98798211
政大莊敬外舍,,台北市文山區指南路二段64號 莊敬外舍,,121.5772664,24.9877675
台欣中醫,02 2936 0430,台北市文山區新光路一段27號,週一~週六,121.573659,24.98899317
維新牙醫,02 2936 7410,台北市文山區指南路二段129號,09:30–12:00  14:30–18:00  19:00–21:30；週日公休,121.5767837,24.98752473
